num_features,metric,num_trees,num_neighbours,subsample_size,accuracy,time_for_pipeline
5,angular,5,5,500,0.422,4.9133
5,angular,5,5,1000,0.36,4.7152
5,angular,5,10,500,0.618,6.9123
5,angular,5,10,1000,0.547,5.7866
5,angular,5,50,500,0.746,3.9794
5,angular,5,50,1000,0.863,5.0188
5,angular,10,5,500,0.4,6.6872
5,angular,10,5,1000,0.559,5.0826
5,angular,10,10,500,0.65,3.9731
5,angular,10,10,1000,0.606,4.6124
5,angular,10,50,500,0.744,6.2256
5,angular,10,50,1000,0.877,5.3503
5,angular,30,5,500,0.392,4.9706
5,angular,30,5,1000,0.564,7.6359
5,angular,30,10,500,0.648,7.2322
5,angular,30,10,1000,0.619,5.9381
5,angular,30,50,500,0.804,4.9498
5,angular,30,50,1000,0.898,9.8337
5,euclidean,5,5,500,0.37,4.8346
5,euclidean,5,5,1000,0.398,4.6312
5,euclidean,5,10,500,0.678,8.2955
5,euclidean,5,10,1000,0.637,5.152
5,euclidean,5,50,500,0.996,3.8606
5,euclidean,5,50,1000,0.967,4.1279
5,euclidean,10,5,500,0.402,6.3959
5,euclidean,10,5,1000,0.521,5.6884
5,euclidean,10,10,500,0.706,3.95
5,euclidean,10,10,1000,0.65,4.0068
5,euclidean,10,50,500,0.996,6.1063
5,euclidean,10,50,1000,0.988,6.169
5,euclidean,30,5,500,0.41,4.2313
5,euclidean,30,5,1000,0.572,3.896
5,euclidean,30,10,500,0.708,6.5424
5,euclidean,30,10,1000,0.658,7.2102
5,euclidean,30,50,500,1.0,3.7975
5,euclidean,30,50,1000,0.988,5.1124
5,manhattan,5,5,500,0.396,7.5458
5,manhattan,5,5,1000,0.318,5.9078
5,manhattan,5,10,500,0.682,5.0681
5,manhattan,5,10,1000,0.629,5.8143
5,manhattan,5,50,500,0.97,6.4008
5,manhattan,5,50,1000,0.965,4.1134
5,manhattan,10,5,500,0.402,3.6457
5,manhattan,10,5,1000,0.498,4.7963
5,manhattan,10,10,500,0.672,7.3784
5,manhattan,10,10,1000,0.649,5.692
5,manhattan,10,50,500,1.0,3.7335
5,manhattan,10,50,1000,0.962,6.0125
5,manhattan,30,5,500,0.41,6.1141
5,manhattan,30,5,1000,0.57,3.9103
5,manhattan,30,10,500,0.7,3.7323
5,manhattan,30,10,1000,0.656,6.2267
5,manhattan,30,50,500,1.0,6.5077
5,manhattan,30,50,1000,0.979,4.0779
15,angular,5,5,500,0.786,3.8122
15,angular,5,5,1000,0.737,5.1117
15,angular,5,10,500,0.818,6.5761
15,angular,5,10,1000,0.801,4.2239
15,angular,5,50,500,0.858,4.0045
15,angular,5,50,1000,0.794,5.1201
15,angular,10,5,500,0.796,6.2234
15,angular,10,5,1000,0.848,4.5032
15,angular,10,10,500,0.848,3.6809
15,angular,10,10,1000,0.802,4.3374
15,angular,10,50,500,0.86,6.6153
15,angular,10,50,1000,0.817,5.4043
15,angular,30,5,500,0.814,3.7225
15,angular,30,5,1000,0.862,4.027
15,angular,30,10,500,0.858,6.5463
15,angular,30,10,1000,0.824,5.7944
15,angular,30,50,500,0.892,3.9195
15,angular,30,50,1000,0.839,4.2455
15,euclidean,5,5,500,0.774,5.8129
15,euclidean,5,5,1000,0.584,6.5544
15,euclidean,5,10,500,0.91,3.8171
15,euclidean,5,10,1000,0.827,4.1419
15,euclidean,5,50,500,0.902,5.7152
15,euclidean,5,50,1000,0.93,6.34
15,euclidean,10,5,500,0.84,3.7637
15,euclidean,10,5,1000,0.877,3.9894
15,euclidean,10,10,500,0.962,5.3695
15,euclidean,10,10,1000,0.871,6.4885
15,euclidean,10,50,500,1.0,3.9406
15,euclidean,10,50,1000,0.958,4.1715
15,euclidean,30,5,500,0.86,4.7848
15,euclidean,30,5,1000,0.915,6.597
15,euclidean,30,10,500,0.964,4.0581
15,euclidean,30,10,1000,0.943,4.0774
15,euclidean,30,50,500,1.0,4.3548
15,euclidean,30,50,1000,0.999,6.846
15,manhattan,5,5,500,0.738,4.7527
15,manhattan,5,5,1000,0.638,3.9844
15,manhattan,5,10,500,0.862,3.8992
15,manhattan,5,10,1000,0.763,6.5307
15,manhattan,5,50,500,0.826,5.1576
15,manhattan,5,50,1000,0.906,4.1131
15,manhattan,10,5,500,0.78,3.7657
15,manhattan,10,5,1000,0.844,6.6376
15,manhattan,10,10,500,0.864,5.5131
15,manhattan,10,10,1000,0.838,4.0328
15,manhattan,10,50,500,0.946,3.8157
15,manhattan,10,50,1000,0.955,6.0127
15,manhattan,30,5,500,0.794,5.9931
15,manhattan,30,5,1000,0.863,4.0044
15,manhattan,30,10,500,0.898,3.7184
15,manhattan,30,10,1000,0.868,6.3518
15,manhattan,30,50,500,0.924,6.1701
15,manhattan,30,50,1000,0.961,4.2274
30,angular,5,5,500,0.688,3.7042
30,angular,5,5,1000,0.67,5.1481
30,angular,5,10,500,0.626,5.9879
30,angular,5,10,1000,0.664,4.4259
30,angular,5,50,500,0.78,4.9091
30,angular,5,50,1000,0.76,8.0051
30,angular,10,5,500,0.714,7.0107
30,angular,10,5,1000,0.687,5.5864
30,angular,10,10,500,0.722,5.35
30,angular,10,10,1000,0.756,7.9173
30,angular,10,50,500,0.818,4.2827
30,angular,10,50,1000,0.867,4.4661
30,angular,30,5,500,0.758,6.8634
30,angular,30,5,1000,0.809,6.8489
30,angular,30,10,500,0.776,4.1008
30,angular,30,10,1000,0.808,4.5535
30,angular,30,50,500,0.86,8.0317
30,angular,30,50,1000,0.907,5.6287
30,euclidean,5,5,500,0.784,4.4488
30,euclidean,5,5,1000,0.775,5.9712
30,euclidean,5,10,500,0.798,7.3455
30,euclidean,5,10,1000,0.791,4.6005
30,euclidean,5,50,500,0.898,4.0039
30,euclidean,5,50,1000,0.867,6.8706
30,euclidean,10,5,500,0.818,5.9463
30,euclidean,10,5,1000,0.845,4.3701
30,euclidean,10,10,500,0.844,3.8555
30,euclidean,10,10,1000,0.847,6.3833
30,euclidean,10,50,500,0.98,6.7194
30,euclidean,10,50,1000,0.965,4.3348
30,euclidean,30,5,500,0.866,5.7602
30,euclidean,30,5,1000,0.873,9.3213
30,euclidean,30,10,500,0.932,4.0003
30,euclidean,30,10,1000,0.92,4.6942
30,euclidean,30,50,500,1.0,6.7781
30,euclidean,30,50,1000,1.0,7.517
30,manhattan,5,5,500,0.652,3.9763
30,manhattan,5,5,1000,0.646,4.4428
30,manhattan,5,10,500,0.648,7.0037
30,manhattan,5,10,1000,0.718,6.0478
30,manhattan,5,50,500,0.818,4.2289
30,manhattan,5,50,1000,0.687,5.0493
30,manhattan,10,5,500,0.69,6.3099
30,manhattan,10,5,1000,0.777,5.4091
30,manhattan,10,10,500,0.704,3.7671
30,manhattan,10,10,1000,0.772,5.2928
30,manhattan,10,50,500,0.894,7.5543
30,manhattan,10,50,1000,0.826,4.6333
30,manhattan,30,5,500,0.716,3.8108
30,manhattan,30,5,1000,0.785,5.0583
30,manhattan,30,10,500,0.76,6.1695
30,manhattan,30,10,1000,0.799,4.8059
30,manhattan,30,50,500,0.92,3.8571
30,manhattan,30,50,1000,0.857,4.8049
